Name,Image source,Rating,Genres,Release year
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,9.32,"['Adventure', 'Drama', 'Fantasy']",2023
Fullmetal Alchemist: Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,9.1,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military']",2009
Steins;Gate,https://cdn.myanimelist.net/images/anime/1935/127974.jpg,9.07,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",2011
Shingeki no Kyojin Season 3 Part 2,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,9.05,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival']",2019
Gintama°,https://cdn.myanimelist.net/images/anime/3/72078.jpg,9.05,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2015
Hunter x Hunter (2011),https://cdn.myanimelist.net/images/anime/1337/99013.jpg,9.03,"['Action', 'Adventure', 'Fantasy']",2011
Gintama',https://cdn.myanimelist.net/images/anime/4/50361.jpg,9.03,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2011
Gintama': Enchousen,https://cdn.myanimelist.net/images/anime/1452/123686.jpg,9.02,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2012
Bleach: Sennen Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,9.01,"['Action', 'Adventure', 'Supernatural']",2022
Kaguya-sama wa Kokurasetai: Ultra Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,8.99,"['Comedy', 'Romance', 'School']",2022
Gintama.,https://cdn.myanimelist.net/images/anime/3/83528.jpg,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2017
Bleach: Sennen Kessen-hen - Soukoku-tan,https://cdn.myanimelist.net/images/anime/1595/144074.jpg,8.98,"['Action', 'Adventure', 'Supernatural']",2024
Fruits Basket: The Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,8.96,"['Drama', 'Romance', 'Supernatural']",2021
Gintama,https://cdn.myanimelist.net/images/anime/10/73274.jpg,8.93,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2006
Clannad: After Story,https://cdn.myanimelist.net/images/anime/1299/110774.jpg,8.93,"['Drama', 'Romance']",2008
Code Geass: Hangyaku no Lelouch R2,https://cdn.myanimelist.net/images/anime/1088/135089.jpg,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",2008
3-gatsu no Lion 2nd Season,https://cdn.myanimelist.net/images/anime/3/88469.jpg,8.91,"['Drama', 'Childcare', 'Strategy Game']",2017
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,8.88,"['Drama', 'Mystery', 'Historical', 'Medical']",2023
Monster,https://cdn.myanimelist.net/images/anime/10/18793.jpg,8.88,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological']",2004
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,https://cdn.myanimelist.net/images/anime/1776/96566.jpg,8.88,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2018
Kingdom 3rd Season,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,8.83,"['Action', 'Historical', 'Military']",2020
Gintama. Shirogane no Tamashii-hen,https://cdn.myanimelist.net/images/anime/12/89603.jpg,8.81,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']",2018
Vinland Saga Season 2,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,8.81,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical']",2023
